feature,coefficient,abs_coefficient,train_n_positive,direction
vit_sao2_h17,-0.002035933,0.002035933,,decreases risk
unittype_Neuro ICU,0.0019875318,0.0019875318,6116.0,increases risk
vit_systemicsystolic_h19,-0.0018843029,0.0018843029,,decreases risk
vit_sao2_max_h13,-0.0018026041,0.0018026041,,decreases risk
unittype_SICU,-0.0016345199,0.0016345199,4992.0,decreases risk
vit_heartrate_max_h17,-0.0014759521,0.0014759521,,decreases risk
lab_glucose_b0,0.0014137633,0.0014137633,,increases risk
vit_heartrate_min_h22,-0.0013833699,0.0013833699,,decreases risk
vit_sao2_max_h22,-0.0013734868,0.0013734868,,decreases risk
vit_respiration_h2,0.0013116176,0.0013116176,,increases risk
vit_sao2_max_h20,-0.0012872843,0.0012872843,,decreases risk
vit_systemicmean_h13,0.001283723,0.001283723,,increases risk
vit_systemicdiastolic_h23,-0.0011621616,0.0011621616,,decreases risk
unittype_MICU,-0.0011092485,0.0011092485,6714.0,decreases risk
vit_sao2_max_h18,-0.001043944,0.001043944,,decreases risk
vit_heartrate_min_h13,0.00094773155,0.00094773155,,increases risk
vit_sao2_h10,0.00092743203,0.00092743203,,increases risk
lab_total bilirubin_b2,0.00081620563,0.00081620563,,increases risk
unittype_CSICU,-0.0008153497,0.0008153497,2312.0,decreases risk
vit_systemicdiastolic_h18,-0.0007767066,0.0007767066,,decreases risk
lab_PTT_b0,0.0007710388,0.0007710388,,increases risk
vit_respiration_min_h14,-0.0007369705,0.0007369705,,decreases risk
lab_albumin_b0,-0.0007235497,0.0007235497,,decreases risk
vit_sao2_h14,0.0006267421,0.0006267421,,increases risk
vit_respiration_max_h9,-0.00059484906,0.00059484906,,decreases risk
"dx_Arrest, respiratory (without cardiac arrest)",0.00057075865,0.00057075865,1060.0,increases risk
vit_heartrate_h3,-0.00049484137,0.00049484137,,decreases risk
vit_respiration_h3,0.00045539933,0.00045539933,,increases risk
vit_heartrate_min_h19,0.00038379114,0.00038379114,,increases risk
lab_potassium_b0,0.00033054556,0.00033054556,,increases risk
vit_respiration_max_h14,0.00028982558,0.00028982558,,increases risk
vit_temperature_h19,-0.00027057072,0.00027057072,,decreases risk
"dx_Hemorrhage/hematoma, intracranial",0.0002664805,0.0002664805,1097.0,increases risk
vit_sao2_max_h11,0.0002539762,0.0002539762,,increases risk
unittype_Cardiac ICU,-0.0002237093,0.0002237093,5521.0,decreases risk
vit_sao2_max_h5,-0.00015944219,0.00015944219,,decreases risk
vit_respiration_min_h15,-0.00014054606,0.00014054606,,decreases risk
vit_systemicmean_h12,0.00012349396,0.00012349396,,increases risk
vit_sao2_max_h4,-2.368043e-05,2.368043e-05,,decreases risk
